"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What increases Consistency?"	"Data Integration"	"Double Examination"	"Federated Database System"	"HL7 CDA"
"What supports 3LGM² Enterprise Function?"	"3LGM² Application Component"	"3LGM² Communication Interface"	"3LGM² Computer-Based Application Component"	"3LGM² Organizational System"
"What supports Enterprise Function?"	"Application Component"	"Computer-Based Application Component"	"Heterogeneity of the HIS Architecture"	"Homogeneity of the HIS Architecture"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Decision Support System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Document Archiving System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Encryption Software"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Enterprise Resource Planning System"
"What uses Case?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Case?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What uses Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Patient?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Informed Consent?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Informed Consent?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Nursing Procedures"
"What uses Informed Consent?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What uses Medical and Nursing Knowledge?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Medical and Nursing Knowledge?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What uses Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Lab Examinations"
"What uses Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Nursing Procedures"
"What uses Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What updates Finding?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Nursing Procedures"
"What updates Finding?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What updates Medical Procedure?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What entity type component 3LGM²-S Providing Interface?"	"3LGM²-S"	"3LGM²-S Invoking Interface"	"3LGM²-S Service"	"3LGM²-S Service Class"
"What entity type component 3LGM²-S Service?"	"3LGM²-S"	"3LGM²-S Invoking Interface"	"3LGM²-S Providing Interface"	"3LGM²-S Service Class"
"What entity type component 3LGM²-S Service Class?"	"3LGM²-S"	"3LGM²-S Invoking Interface"	"3LGM²-S Providing Interface"	"3LGM²-S Service"
"What entity type component Application Server?"	"2-tier Architecture"	"Architectural Style of The Physical Tool Layer"	"Client-Server Architecture"	"Database Server"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Decision Making Planning and Organization of Patient Treatment"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Decision Making Planning and Organization of Patient Treatment"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Execution of Diagnostic and Therapeutic Procedures"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Execution of Diagnostic and Therapeutic Procedures"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care"	"Administrative Admission"	"Decision Making and Patient Information"	"Execution of Diagnostic Therapeutic and Nursing Procedures"
"What function component Coding of Diagnoses and Procedures?"	"Patient Care Function"	"Administrative Admission"	"Decision Making and Patient Information"	"Execution of Diagnostic Therapeutic and Nursing Procedures"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making and Patient Information"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making and Patient Information"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Execution of Diagnostic and Therapeutic Procedures"
"What function component Decision Making Planning and Organization of Patient Treatment?"	"Patient Care Function"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Execution of Diagnostic and Therapeutic Procedures"
"What function component Execution of Diagnostic Therapeutic and Nursing Procedures?"	"Patient Care"	"Administrative Admission"	"Coding of Diagnoses and Procedures"	"Decision Making Planning and Organization of Patient Treatment"
